STATIONS
162|Luštěnice,Sluneční|6|
163|km 250,400 -0,022|-|
164|K Cikánce|P|
165|Sluštice|1|
166|Stašov|5|
167|Horka I,Svobodná Ves,dolní|8|
168|Solenice|8|
169|Chvaly|P|
170|Hrusice,Vlčí halíř|2|
171|Miskovice,Mezholezy|6|
172|Chýnice,Pod Radnicí|1|
173|Nad Rybníkem|P|
174|Mladá Boleslav,Zalužany ŠKODA|7|
175|Hýskov,u hřbitova|4|
176|Králův Dvůr,Levín,farma|4|
177|Divišov,Šternov|6|
178|Rožmitál p.Tř.,Tyršova|8|
179|Hlavice,Lesnovek|11|
180|Dobrovíz,Komerční zóna|1|
181|Na Staré cestě|P|
182|Doubravčice,V Edenu|2|
183|Řepov,hl.sil.|7|
184|Malinová|8|
185|Zdětín|6|
186|Chrást,Lisovice|8|
187|Bělčice,Záhrobí|10|
188|Mochov|2|
189|Stará Lysá,Čihadla|4|
190|Hobšovice,Křovice I|5|
191|Na Šafránce|P|
192|Toužimská|P|
193|Suchdol,Vysoká|6|
194|Květnice,Za Mlýnem|1|
195|Miškovice|B|
196|Olšanské náměstí|P|
197|Netluky|B|
198|Drahlín,Malý Drahlín|6|
199|Brázdim,Starý Brázdim|1|
200|Dobšice|8|
201|Dobřív,Melmatěj|-|
202|Nižbor,Žloukovice|4|
203|Vranov,Údolnice,rozc.|4|
204|Dunice|9|
205|Unhošť|2|
206|Lysá n.L.,Předměstí|3|
207|Lhota pod Přeloučí|10|
208|Přezletice,U Rybníka|1|
209|Škola Radotín|P|
210|Tuřice|4|
211|Rokytá,Horní Rokytá,otočka|10|
212|Blatce|7|
213|Sedlec-Prčice,Prčice|8|
214|Zvánovice,Kádov|3|
215|Nymburk,Jednota Habeš|5|
216|Sudějov|6|
217|Skryje|7|
218|Satalická obora|B|
219|Bělčice,Záhrobí,cihelna|10|
220|Jestřabí v Krk.,Křížlice,myslivna|-|
221|Nový Bydžov,Skochovice,hřiště|9|
222|Vrátno,dolní část|6|
223|Branžež,Nová Ves,na kopečku|9|
224|Na Homoli|P|
225|Nuselské schody|P|
226|Ke Štěrkovně|P|
227|Uhříněves|B|
228|Maršovice,Zahrádka|6|
229|Pičín|6|
230|Pramenná|B|
231|Pyšely,Nám.|3,4|
232|Bakov n.Jiz.,Horka|8|
233|Vrbice,kult.dům|7|
234|Jesenická|P|
235|Ovčáry,ZD|6|
236|Kroučová|7|
237|Družec,náměstí|4|
238|Horoušany|1|
239|Benešov,Pivovar Ferdinand|5|
240|Kostelní Lhota|5|
241|Teplýšovice,Humenec,rozc.|5|
242|Úžice,Nechyba|5|
243|Roztoky,Višňová|6|
244|Sklářská|P|
245|Zbuzany,Obecní úřad|1|
246|Nádraží Uhříněves|P|
247|Zápy,Stavby mostů|2|
248|Rakovník,střelnice|7|
249|Krčská|P|
250|Svatá,u Sýkorů|5|
251|Chaloupky,Ptákov|7|
252|Pečky,Palackého|5|
253|Červené Janovice,Katlov|7|
254|U Křížku|P|
255|Krušovice|6|
256|Krnsko|7|
257|Říčany,Strašín,Pastelkov|1|
258|Venušina|P|
259|Boloňská|P|
260|Liberec,Kamenická|-|
261|Poříčany|4|
262|Ke Džbánu|P|
263|Čáslav,aut.st.|8|
264|Starý Bydžov,ObÚ|10|
265|Dobšín,Kamenice|9|
266|Blatce,Blatečky|7|
267|Ondřejov,Turkovice|3|
268|Holýšovská|P|
269|Barchovice,ObÚ|5|
270|Zlatníky-Hodkovice,U Hasičárny|1|
271|Libiš,Samoobsluha|2|
272|Rokytovec,Malé Horky|6|
273|Vlašim,Politických vězňů|7|
274|Budiměřice,Šlotava|5,6|
275|Košík|8|
276|Jankov,Malostranská|7|
277|Kondrac,Dub|7|
278|Polesná|P|
279|Libuň zast.|-|
280|Kněževes,U Nádraží|1|
281|Smíchovské nádraží|P|
282|Kněžmost,Koprník|8|
283|Načeradec,Daměnice|9|
284|Žleby,Sibiř|9|
285|Český Dub,Kněžičky,rozc.0.5|12|
286|Příbram,aut.nádr.|7|
287|Cholupice|P|
288|Šeberov|B|
289|Hrnčířský hřbitov|P|
290|Chýnovská|P|
291|Lhotka u Mělníka|4|
292|Poděbrady,u mlékárny|6|
293|Chodovická|P|
294|Trhový Štěpánov,Sedmpány|8|
295|Říčany,Prům.areál Černokostelecká|1|
296|Starý Prosek|P|
297|Říčany,Melantrichova|1|
298|Neratovice,Kostomlatského|2|
299|Ohrobec,Zvolská|1|
300|Úžice,Radvanice,Nechybská|5|
301|Příbram,Školní III.poliklinika|7|
302|Dreyerova|P|
303|Ledce,rozc.Šternberk|5|
304|Rakovník,vila Vácha|7|
305|Kladno,Velvarská|3|
306|Chaloupky|7|
307|Radnice Řepy|P|
308|Řendějov,Starý Samechov|8|
309|Nádraží Krč|P|
310|Nová Ves,Staré Ouholice|3|
311|Zruč n.Sáz.,Nesměřice|8|
312|Kostomlaty n.L.,Vápensko|5|
313|Mirovická|P|
314|Loukov u Mnichova Hradiště|9|
315|Studeněves,vodárna|5|
316|Těně,Smolárna|-|
317|Šestajovice,Pražská|B,1|
318|Senomaty,Hostokryje,rozc.|7|
319|Sedlec-Prčice,u Milotů|8|
320|Hl Strojírna|-|
321|Jestřebí,Podolec|-|
322|Kněžmost,Soleček|8|
323|Ciolkovského|P|
324|Kralupy n.Vlt.,poliklinika|3|
325|Mnichovo Hradiště,Sychrov,u Jizery|9|
326|Vraňany|4|
327|Průhonský háj|P|
328|Tetín,křižovatka|4|
329|hr.VUSC 0200/0420 05|-|
330|hr.VUSC 0200/0420 06|-|
331|hr.VUSC 0200/0420 04|-|
332|Držkov,nám.|-|
333|Štětkovice,Chrastava|7|
334|Vodičkova|P|
